"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","25-Feb-2022","       2255.75","       2280.10","       2307.95","       2276.25","       2283.00","       2283.95","       2290.84","    6724094","         15403844188.65","     281047","    3670287","         54.58"
"RELIANCE","EQ","28-Feb-2022","       2283.95","       2243.00","       2367.35","       2243.00","       2355.00","       2359.55","       2328.64","    9828768","         22887683561.40","     240020","    5321030","         54.14"
"RELIANCE","EQ","02-Mar-2022","       2359.55","       2334.45","       2401.00","       2329.20","       2399.25","       2398.55","       2376.69","    9909226","         23551157613.65","     309328","    6277829","         63.35"
"RELIANCE","EQ","03-Mar-2022","       2398.55","       2400.00","       2414.85","       2370.05","       2382.00","       2378.30","       2392.27","    4701183","         11246476348.75","     230143","    2479449","         52.74"
"RELIANCE","EQ","04-Mar-2022","       2378.30","       2353.00","       2364.30","       2320.35","       2327.95","       2325.55","       2338.20","    4986814","         11660149352.95","     219860","    2754095","         55.23"
"RELIANCE","EQ","07-Mar-2022","       2325.55","       2278.70","       2312.10","       2222.00","       2240.05","       2239.55","       2256.84","    8299295","         18730168161.15","     372828","    4962748","         59.80"
"RELIANCE","EQ","08-Mar-2022","       2239.55","       2211.50","       2246.00","       2180.00","       2235.05","       2235.50","       2220.15","    9825043","         21813021864.70","     428117","    5602260","         57.02"
"RELIANCE","EQ","09-Mar-2022","       2235.50","       2236.00","       2367.00","       2234.15","       2358.30","       2354.10","       2316.35","    9421163","         21822706477.90","     325395","    4647153","         49.33"
"RELIANCE","EQ","10-Mar-2022","       2354.10","       2400.00","       2405.00","       2360.00","       2387.00","       2392.25","       2386.79","    8297995","         19805599252.70","     278083","    4102149","         49.44"
"RELIANCE","EQ","11-Mar-2022","       2392.25","       2376.05","       2411.00","       2376.05","       2393.15","       2399.15","       2396.11","    5656799","         13554290818.70","     199494","    3028604","         53.54"
"RELIANCE","EQ","14-Mar-2022","       2399.15","       2386.90","       2424.40","       2374.00","       2422.20","       2418.85","       2401.52","    3849222","          9243998854.25","     160500","    1800381","         46.77"
"RELIANCE","EQ","15-Mar-2022","       2418.85","       2427.95","       2427.95","       2340.85","       2362.00","       2363.45","       2386.09","    7349740","         17537136611.95","     257511","    3924279","         53.39"
"RELIANCE","EQ","16-Mar-2022","       2363.45","       2382.00","       2407.90","       2377.10","       2401.50","       2403.35","       2396.17","    5145644","         12329854279.30","     185464","    2824434","         54.89"
"RELIANCE","EQ","17-Mar-2022","       2403.35","       2432.75","       2497.40","       2415.10","       2487.50","       2481.70","       2456.66","    9886295","         24287296550.40","     274442","    5961590","         60.30"
"RELIANCE","EQ","21-Mar-2022","       2481.70","       2444.00","       2484.00","       2439.00","       2463.00","       2467.40","       2465.17","    5537752","         13651502305.15","     235063","    3019258","         54.52"
"RELIANCE","EQ","22-Mar-2022","       2467.40","       2460.10","       2534.95","       2453.60","       2528.00","       2531.15","       2508.41","   10410082","         26112751091.55","     314410","    5753732","         55.27"
"RELIANCE","EQ","23-Mar-2022","       2531.15","       2523.00","       2564.85","       2523.00","       2535.00","       2539.20","       2546.52","    7135797","         18171479956.25","     235853","    4321837","         60.57"
"RELIANCE","EQ","24-Mar-2022","       2539.20","       2510.00","       2584.15","       2510.00","       2572.00","       2578.65","       2557.80","    6077153","         15544115850.20","     221309","    3208900","         52.80"
"RELIANCE","EQ","25-Mar-2022","       2578.65","       2582.50","       2616.00","       2577.00","       2600.90","       2595.85","       2596.66","    6563676","         17043606171.05","     276908","    3821279","         58.22"
"RELIANCE","EQ","28-Mar-2022","       2595.85","       2610.00","       2629.75","       2586.50","       2617.00","       2621.95","       2611.69","    4564891","         11922093056.05","     183261","    2149565","         47.09"
"RELIANCE","EQ","29-Mar-2022","       2621.95","       2638.00","       2638.00","       2607.40","       2618.00","       2622.55","       2623.00","    4007695","         10512198455.70","     203830","    2280912","         56.91"
"RELIANCE","EQ","30-Mar-2022","       2622.55","       2639.90","       2688.00","       2617.10","       2658.70","       2672.95","       2661.36","    7297028","         19420019029.30","     219316","    4259734","         58.38"
"RELIANCE","EQ","31-Mar-2022","       2672.95","       2664.95","       2669.70","       2628.60","       2636.00","       2634.75","       2642.00","    6102744","         16123465625.40","     249443","    3893403","         63.80"
"RELIANCE","EQ","01-Apr-2022","       2634.75","       2636.00","       2665.15","       2622.00","       2661.00","       2655.85","       2641.48","    3656408","          9658325026.60","     163060","    1845831","         50.48"
"RELIANCE","EQ","04-Apr-2022","       2655.85","       2655.45","       2675.00","       2641.65","       2660.65","       2663.70","       2658.17","    3659307","          9727052260.30","     167593","    1859891","         50.83"
"RELIANCE","EQ","05-Apr-2022","       2663.70","       2651.10","       2669.90","       2620.70","       2626.00","       2626.05","       2636.90","    6068663","         16002466152.10","     204933","    3962890","         65.30"
"RELIANCE","EQ","06-Apr-2022","       2626.05","       2587.10","       2634.50","       2587.10","       2616.00","       2619.05","       2613.61","    5656703","         14784387493.60","     163311","    3640461","         64.36"
"RELIANCE","EQ","07-Apr-2022","       2619.05","       2595.10","       2606.00","       2567.00","       2572.20","       2572.85","       2583.10","    7151632","         18473348627.45","     233582","    4936384","         69.02"
